127.0.0.1 - - [31/Aug/2023:13:45:33 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:35 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:35 +0530] "GET /CradleOfLife/theme/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:35 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:35 +0530] "GET /CradleOfLife/theme/img/banner/banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:35 +0530] "GET /CradleOfLife/theme/img/favicon.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:39 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:58 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:58 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:45:59 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:46:00 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:46:00 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [31/Aug/2023:13:46:01 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
