127.0.0.1 - - [06/Sep/2023:18:53:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:53:58 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:53:58 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:53:58 +0530] "GET /CradleOfLife/theme/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:53:58 +0530] "GET /CradleOfLife/theme/img/banner/banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:53:58 +0530] "GET /CradleOfLife/theme/img/favicon.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:54:34 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:54:34 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:54:34 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:54:49 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:54:49 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:55:24 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:55:24 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:55:31 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:55:31 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:55:52 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:55:52 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:07 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:07 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10406
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:07 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:07 +0530] "GET /CradleOfLife/pages/img/blog/single_blog_4.png HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:12 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:12 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:36 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=transferFunds HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:41 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:41 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/pages/aboutus.jsp HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator1.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator3.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator2.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/theme/img/testmonial/testmonial.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:48 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:52 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:56:52 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:03 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:03 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10011
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:03 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:32 +0530] "GET /CradleOfLife/pages/aboutusNGo.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:32 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:32 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:32 +0530] "GET /CradleOfLife/theme/img/testmonial/testmonial.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:35 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [06/Sep/2023:18:57:35 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
